APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_o_w,APPVAL_RECS_bert-x_o_w,FOA_RECS_bert-x_o_w
10223141,f,w,"9468350,9902831,9689073,9689074,8899330","1875000.0,1845000.0,1845000.0,1845000.0,1995000.0","RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004"
10573185,m,w,"7915866,7914797,7761262,7796711,8105727","292000.0,292000.0,288000.0,288000.0,288000.0","RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006"
9257399,f,w,"10015282,10646279,9814451,9814449,10176493","861000.0,721000.0,861000.0,861000.0,812000.0","RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013"
8518235,f,w,"10092091,9872117,9667823,10549737,10543401","580000.0,615000.0,615000.0,515000.0,515000.0","RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039"
8318381,m,w,"7943132,7777466,8595178,7847869,7938487","576000.0,584000.0,532000.0,576000.0,576000.0","RFA-EB-09-001,RFA-EB-09-001,RFA-EB-09-001,RFA-EB-09-001,RFA-EB-09-001"
9071539,m,w,"9544270,10000938,10001545,10001546,10001564","312500.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
8120588,m,w,"9323489,9757795,9105753,8990689,9563295","1375000.0,1353000.0,1441000.0,1463000.0,1375000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"9229238,9355680,9999348,9998690,9998689","1048000.0,1000000.0,984000.0,984000.0,984000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"10749845,10749843,10749788,10749787,10749786","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-HG-22-026,RFA-HG-22-026,RFA-HG-22-026,RFA-HG-22-026,RFA-HG-22-026"
7691735,f,w,"8129453,8655990,8128165,7982922,7842591","350000.0,337500.0,360000.0,360000.0,360000.0","RFA-HD-07-022,RFA-HD-07-022,RFA-HD-07-022,RFA-HD-07-022,RFA-HD-07-022"
8789173,m,h,"7846006,8069992,7610903,7595905,7595897","204400.0,196000.0,204400.0,204400.0,204400.0","RFA-DK-06-008,RFA-DK-06-008,RFA-DK-06-008,RFA-DK-06-008,RFA-DK-06-008"
9527152,m,a,"9626424,9440248,9646356,10304211,10088444","430500.0,437500.0,430500.0,406000.0,406000.0","RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001"
