APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_o_w,APPVAL_RECS_bert-xxxxx_o_w,FOA_RECS_bert-xxxxx_o_w
10045674,m,a,"10276528,10687273,10689336,10689334,10689332","2900000.0,2575000.0,2575000.0,2575000.0,2575000.0","RFA-AG-21-015,RFA-AG-21-015,RFA-AG-21-015,RFA-AG-21-015,RFA-AG-21-015"
8133865,m,w,"10381612,10617650,10271683,7675407,8173686","652700.0,628300.0,707600.0,73000.0,72000.0","RFA-LM-20-002,RFA-LM-20-002,RFA-LM-20-002,RFA-RM-07-002,RFA-RM-07-002"
7959559,f,w,"7686785,8168393,8168187,8168189,8168190","292000.0,288000.0,288000.0,288000.0,288000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
10260832,f,w,"10381612,10617650,10271683,10617668,10261978","652700.0,628300.0,707600.0,351230.0,395560.0","RFA-LM-20-002,RFA-LM-20-002,RFA-LM-20-002,RFA-LM-20-001,RFA-LM-20-001"
10019094,m,w,"7936907,8117651,8078842,8078841,8078840","1440000.0,1400000.0,1440000.0,1440000.0,1440000.0","RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018"
7943991,m,w,"8545885,8725993,8222946,8221472,8338455","3510000.0,3458000.0,3640000.0,3640000.0,3562000.0000000005","RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017"
10207406,m,w,"9340202,9547441,9205998,10059273,9161152","625000.0,625000.0,655000.0,869999.9999999999,937500.0","RFA-EY-15-002,RFA-EY-15-002,RFA-EY-15-002,RFA-NS-16-001,RFA-NS-16-001"
9081627,m,h,"8432693,8432558,8601687,8602768,8604138","4725000.0,4725000.0,4655000.0,4655000.0,4655000.0","RFA-AI-12-002,RFA-AI-12-002,RFA-AI-12-002,RFA-AI-12-002,RFA-AI-12-002"
7905606,f,w,"9515931,10000638,9938144,9930943,9925966","187500.0,184500.0,184500.0,184500.0,184500.0","RFA-DK-16-006,RFA-DK-16-006,RFA-DK-16-006,RFA-DK-16-006,RFA-DK-16-006"
7500007,m,w,"7897842,7595238,7595239,7600623,7800417","200160.0,202940.0,202940.0,202940.0,200160.0","RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002"
8836574,m,w,"8294891,8509531,8152161,8076110,8680048","685000.0,675000.0,700000.0,720000.0,665000.0","RFA-NR-10-006,RFA-NR-10-006,RFA-NR-10-006,RFA-NR-10-006,RFA-NR-10-006"
